visit_no;date;day_name;start_hour;hours_covered
1;2026-11-02;Senin;20:00;20,21,22,23,00,01
2;2026-11-03;Selasa;02:00;02,03,04,05,06,07
3;2026-11-04;Rabu;16:00;16,17,18,19,20,21
4;2026-11-08;Minggu;18:00;18,19,20,21,22,23
5;2026-11-11;Rabu;04:00;04,05,06,07,08,09
6;2026-11-14;Sabtu;08:00;08,09,10,11,12,13
7;2026-11-15;Minggu;22:00;22,23,00,01,02,03
8;2026-11-16;Senin;14:00;14,15,16,17,18,19
9;2026-11-19;Kamis;10:00;10,11,12,13,14,15
10;2026-11-22;Minggu;12:00;12,13,14,15,16,17
11;2026-11-25;Rabu;06:00;06,07,08,09,10,11
12;2026-11-26;Kamis;02:00;02,03,04,05,06,07
13;2026-11-29;Minggu;06:00;06,07,08,09,10,11
14;2026-11-30;Senin;18:00;18,19,20,21,22,23
15;2026-12-03;Kamis;00:00;00,01,02,03,04,05
16;2026-12-08;Selasa;12:00;12,13,14,15,16,17
17;2026-12-10;Kamis;16:00;16,17,18,19,20,21
18;2026-12-12;Sabtu;22:00;22,23,00,01,02,03
19;2026-12-14;Senin;14:00;14,15,16,17,18,19
20;2026-12-18;Jumat;10:00;10,11,12,13,14,15
21;2026-12-19;Sabtu;20:00;20,21,22,23,00,01
22;2026-12-20;Minggu;04:00;04,05,06,07,08,09
23;2026-12-24;Kamis;08:00;08,09,10,11,12,13
24;2026-12-25;Jumat;20:00;20,21,22,23,00,01
25;2026-12-29;Selasa;06:00;06,07,08,09,10,11
26;2026-12-30;Rabu;10:00;10,11,12,13,14,15
27;2027-01-02;Sabtu;02:00;02,03,04,05,06,07
28;2027-01-05;Selasa;16:00;16,17,18,19,20,21
29;2027-01-06;Rabu;08:00;08,09,10,11,12,13
30;2027-01-07;Kamis;00:00;00,01,02,03,04,05
31;2027-01-11;Senin;12:00;12,13,14,15,16,17
32;2027-01-12;Selasa;14:00;14,15,16,17,18,19
33;2027-01-15;Jumat;22:00;22,23,00,01,02,03
34;2027-01-17;Minggu;04:00;04,05,06,07,08,09
35;2027-01-18;Senin;18:00;18,19,20,21,22,23
36;2027-01-22;Jumat;18:00;18,19,20,21,22,23
37;2027-01-25;Senin;08:00;08,09,10,11,12,13
38;2027-01-26;Selasa;16:00;16,17,18,19,20,21
39;2027-01-30;Sabtu;14:00;14,15,16,17,18,19
40;2027-01-31;Minggu;10:00;10,11,12,13,14,15
41;2027-02-03;Rabu;22:00;22,23,00,01,02,03
42;2027-02-06;Sabtu;06:00;06,07,08,09,10,11
43;2027-02-07;Minggu;04:00;04,05,06,07,08,09
44;2027-02-11;Kamis;00:00;00,01,02,03,04,05
45;2027-02-12;Jumat;12:00;12,13,14,15,16,17
46;2027-02-16;Selasa;02:00;02,03,04,05,06,07
47;2027-02-18;Kamis;20:00;20,21,22,23,00,01
48;2027-02-19;Jumat;22:00;22,23,00,01,02,03
49;2027-02-21;Minggu;10:00;10,11,12,13,14,15
50;2027-02-23;Selasa;18:00;18,19,20,21,22,23
51;2027-02-26;Jumat;14:00;14,15,16,17,18,19
52;2027-02-28;Minggu;16:00;16,17,18,19,20,21
